Dataset,Model,Formal Rule Extractability,Constraint Coverage,Decision Traceability,Safety Guarantee,Deterministic Reproducibility,Audit Trail Completeness,Explanation Complexity,CVS
CSE-CIC-IDS-2018,ASRRL (Ours),1.0,1.0,1.0,1.0,1.0,1.0,0.7387777777777778,0.9626825396825397
CSE-CIC-IDS-2018,Random Forest,0.0,0.0,0.3,0.0,1.0,0.3,0.4,0.2857142857142857
CSE-CIC-IDS-2018,XGBoost,0.0,0.0,0.3,0.0,1.0,0.3,0.1,0.24285714285714288
CSE-CIC-IDS-2018,LightGBM,0.0,0.0,0.3,0.0,1.0,0.3,0.1,0.24285714285714288
CSE-CIC-IDS-2018,SVM,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
CSE-CIC-IDS-2018,KNN,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
CSE-CIC-IDS-2018,Naive Bayes,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
CSE-CIC-IDS-2018,MLP,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
UNSW-NB15,ASRRL (Ours),1.0,1.0,1.0,1.0,1.0,1.0,0.6967407407407407,0.9566772486772487
UNSW-NB15,Random Forest,0.0,0.0,0.3,0.0,1.0,0.3,0.4,0.2857142857142857
UNSW-NB15,XGBoost,0.0,0.0,0.3,0.0,1.0,0.3,0.1,0.24285714285714288
UNSW-NB15,LightGBM,0.0,0.0,0.3,0.0,1.0,0.3,0.1,0.24285714285714288
UNSW-NB15,SVM,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
UNSW-NB15,KNN,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
UNSW-NB15,Naive Bayes,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
UNSW-NB15,MLP,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
CIC-IDS2017,ASRRL (Ours),1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,0.9523809523809524
CIC-IDS2017,Random Forest,0.0,0.0,0.3,0.0,1.0,0.3,0.4,0.2857142857142857
CIC-IDS2017,XGBoost,0.0,0.0,0.3,0.0,1.0,0.3,0.1,0.24285714285714288
CIC-IDS2017,LightGBM,0.0,0.0,0.3,0.0,1.0,0.3,0.1,0.24285714285714288
CIC-IDS2017,SVM,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
CIC-IDS2017,KNN,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
CIC-IDS2017,Naive Bayes,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
CIC-IDS2017,MLP,0.0,0.0,0.1,0.0,1.0,0.3,0.1,0.21428571428571433
